Id,Lastname,Firstname,Company,Address,City,State,Country,Postalcode,BillingAddress,BillingCity,BillingState,BillingCountry,BillingPostalcode,Phone,Email,SupportRepId,DateCreated,DateUpdated
1,Gonçalves,Luís,Embraer - Empresa Brasileira de Aeronáutica S.A.,"Av. Brigadeiro Faria Lima, 2170",São José dos Campos,SP,Brazil,12227-000,"Av. Brigadeiro Faria Lima, 2170",São José dos Campos,SP,Brazil,12227-000,+55 (12) 3923-5555,luisg@embraer.com.br,3,2024-03-26,2024-03-26
2,Köhler,Leonie,,Theodor-Heuss-Straße 34,Stuttgart,,Germany,70174,Theodor-Heuss-Straße 34,Stuttgart,,Germany,70174,+49 0711 2842222,leonekohler@surfeu.de,5,2024-03-26,2024-03-26
3,Tremblay,François,,1498 rue Bélanger,Montréal,QC,Canada,H2G 1A7,1498 rue Bélanger,Montréal,QC,Canada,H2G 1A7,+1 (514) 721-4711,ftremblay@gmail.com,3,2024-03-26,2024-03-26
4,Hansen,Bjørn,,Ullevålsveien 14,Oslo,,Norway,171,Ullevålsveien 14,Oslo,,Norway,171,+47 22 44 22 22,bjorn.hansen@yahoo.no,4,2024-03-26,2024-03-26
5,Wichterlová,František,JetBrains s.r.o.,Klanova 9/506,Prague,,Czech Republic,14700,Klanova 9/506,Prague,,Czech Republic,14700,+420 2 4172 5555,frantisekw@jetbrains.com,4,2024-03-26,2024-03-26
6,Holý,Helena,,Rilská 3174/6,Prague,,Czech Republic,14300,Rilská 3174/6,Prague,,Czech Republic,14300,+420 2 4177 0449,hholy@gmail.com,5,2024-03-26,2024-03-26
7,Gruber,Astrid,,"Rotenturmstraße 4, 1010 Innere Stadt",Vienne,,Austria,1010,"Rotenturmstraße 4, 1010 Innere Stadt",Vienne,,Austria,1010,+43 01 5134505,astrid.gruber@apple.at,5,2024-03-26,2024-03-26
8,Peeters,Daan,,Grétrystraat 63,Brussels,,Belgium,1000,Grétrystraat 63,Brussels,,Belgium,1000,+32 02 219 03 03,daan_peeters@apple.be,4,2024-03-26,2024-03-26
9,Nielsen,Kara,,Sønder Boulevard 51,Copenhagen,,Denmark,1720,Sønder Boulevard 51,Copenhagen,,Denmark,1720,+453 3331 9991,kara.nielsen@jubii.dk,4,2024-03-26,2024-03-26
10,Martins,Eduardo,Woodstock Discos,"Rua Dr. Falcão Filho, 155",São Paulo,SP,Brazil,01007-010,"Rua Dr. Falcão Filho, 155",São Paulo,SP,Brazil,01007-010,+55 (11) 3033-5446,eduardo@woodstock.com.br,4,2024-03-26,2024-03-26
11,Rocha,Alexandre,Banco do Brasil S.A.,"Av. Paulista, 2022",São Paulo,SP,Brazil,01310-200,"Av. Paulista, 2022",São Paulo,SP,Brazil,01310-200,+55 (11) 3055-3278,alero@uol.com.br,5,2024-03-26,2024-03-26
12,Almeida,Roberto,Riotur,"Praça Pio X, 119",Rio de Janeiro,RJ,Brazil,20040-020,"Praça Pio X, 119",Rio de Janeiro,RJ,Brazil,20040-020,+55 (21) 2271-7000,roberto.almeida@riotur.gov.br,3,2024-03-26,2024-03-26
13,Ramos,Fernanda,,Qe 7 Bloco G,Brasília,DF,Brazil,71020-677,Qe 7 Bloco G,Brasília,DF,Brazil,71020-677,+55 (61) 3363-5547,fernadaramos4@uol.com.br,4,2024-03-26,2024-03-26
14,Philips,Mark,Telus,8210 111 ST NW,Edmonton,AB,Canada,T6G 2C7,8210 111 ST NW,Edmonton,AB,Canada,T6G 2C7,+1 (780) 434-4554,mphilips12@shaw.ca,5,2024-03-26,2024-03-26
15,Peterson,Jennifer,Rogers Canada,700 W Pender Street,Vancouver,BC,Canada,V6C 1G8,700 W Pender Street,Vancouver,BC,Canada,V6C 1G8,+1 (604) 688-2255,jenniferp@rogers.ca,3,2024-03-26,2024-03-26
16,Harris,Frank,Google Inc.,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043-1351,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043-1351,+1 (650) 253-0000,fharris@google.com,4,2024-03-26,2024-03-26
17,Smith,Jack,Microsoft Corporation,1 Microsoft Way,Redmond,WA,USA,98052-8300,1 Microsoft Way,Redmond,WA,USA,98052-8300,+1 (425) 882-8080,jacksmith@microsoft.com,5,2024-03-26,2024-03-26
18,Brooks,Michelle,,627 Broadway,New York,NY,USA,10012-2612,627 Broadway,New York,NY,USA,10012-2612,+1 (212) 221-3546,michelleb@aol.com,3,2024-03-26,2024-03-26
19,Goyer,Tim,Apple Inc.,1 Infinite Loop,Cupertino,CA,USA,95014,1 Infinite Loop,Cupertino,CA,USA,95014,+1 (408) 996-1010,tgoyer@apple.com,3,2024-03-26,2024-03-26
20,Miller,Dan,,541 Del Medio Avenue,Mountain View,CA,USA,94040-111,541 Del Medio Avenue,Mountain View,CA,USA,94040-111,+1 (650) 644-3358,dmiller@comcast.com,4,2024-03-26,2024-03-26
21,Chase,Kathy,,801 W 4th Street,Reno,NV,USA,89503,801 W 4th Street,Reno,NV,USA,89503,+1 (775) 223-7665,kachase@hotmail.com,5,2024-03-26,2024-03-26
22,Leacock,Heather,,120 S Orange Ave,Orlando,FL,USA,32801,120 S Orange Ave,Orlando,FL,USA,32801,+1 (407) 999-7788,hleacock@gmail.com,4,2024-03-26,2024-03-26
23,Gordon,John,,69 Salem Street,Boston,MA,USA,2113,69 Salem Street,Boston,MA,USA,2113,+1 (617) 522-1333,johngordon22@yahoo.com,4,2024-03-26,2024-03-26
24,Ralston,Frank,,162 E Superior Street,Chicago,IL,USA,60611,162 E Superior Street,Chicago,IL,USA,60611,+1 (312) 332-3232,fralston@gmail.com,3,2024-03-26,2024-03-26
25,Stevens,Victor,,319 N. Frances Street,Madison,WI,USA,53703,319 N. Frances Street,Madison,WI,USA,53703,+1 (608) 257-0597,vstevens@yahoo.com,5,2024-03-26,2024-03-26
26,Cunningham,Richard,,2211 W Berry Street,Fort Worth,TX,USA,76110,2211 W Berry Street,Fort Worth,TX,USA,76110,+1 (817) 924-7272,ricunningham@hotmail.com,4,2024-03-26,2024-03-26
27,Gray,Patrick,,1033 N Park Ave,Tucson,AZ,USA,85719,1033 N Park Ave,Tucson,AZ,USA,85719,+1 (520) 622-4200,patrick.gray@aol.com,4,2024-03-26,2024-03-26
28,Barnett,Julia,,302 S 700 E,Salt Lake City,UT,USA,84102,302 S 700 E,Salt Lake City,UT,USA,84102,+1 (801) 531-7272,jubarnett@gmail.com,5,2024-03-26,2024-03-26
29,Brown,Robert,,796 Dundas Street West,Toronto,ON,Canada,M6J 1V1,796 Dundas Street West,Toronto,ON,Canada,M6J 1V1,+1 (416) 363-8888,robbrown@shaw.ca,3,2024-03-26,2024-03-26
30,Francis,Edward,,230 Elgin Street,Ottawa,ON,Canada,K2P 1L7,230 Elgin Street,Ottawa,ON,Canada,K2P 1L7,+1 (613) 234-3322,edfrancis@yachoo.ca,3,2024-03-26,2024-03-26
31,Silk,Martha,,194A Chain Lake Drive,Halifax,NS,Canada,B3S 1C5,194A Chain Lake Drive,Halifax,NS,Canada,B3S 1C5,+1 (902) 450-0450,marthasilk@gmail.com,5,2024-03-26,2024-03-26
32,Mitchell,Aaron,,696 Osborne Street,Winnipeg,MB,Canada,R3L 2B9,696 Osborne Street,Winnipeg,MB,Canada,R3L 2B9,+1 (204) 452-6452,aaronmitchell@yahoo.ca,4,2024-03-26,2024-03-26
33,Sullivan,Ellie,,5112 48 Street,Yellowknife,NT,Canada,X1A 1N6,5112 48 Street,Yellowknife,NT,Canada,X1A 1N6,+1 (867) 920-2233,ellie.sullivan@shaw.ca,3,2024-03-26,2024-03-26
34,Fernandes,João,,Rua da Assunção 53,Lisbon,,Portugal,,Rua da Assunção 53,Lisbon,,Portugal,,+351 (213) 466-111,jfernandes@yahoo.pt,4,2024-03-26,2024-03-26
35,Sampaio,Madalena,,"Rua dos Campeões Europeus de Viena, 4350",Porto,,Portugal,,"Rua dos Campeões Europeus de Viena, 4350",Porto,,Portugal,,+351 (225) 022-448,masampaio@sapo.pt,4,2024-03-26,2024-03-26
36,Schneider,Hannah,,Tauentzienstraße 8,Berlin,,Germany,10789,Tauentzienstraße 8,Berlin,,Germany,10789,+49 030 26550280,hannah.schneider@yahoo.de,5,2024-03-26,2024-03-26
37,Zimmermann,Fynn,,Berger Straße 10,Frankfurt,,Germany,60316,Berger Straße 10,Frankfurt,,Germany,60316,+49 069 40598889,fzimmermann@yahoo.de,3,2024-03-26,2024-03-26
38,Schröder,Niklas,,Barbarossastraße 19,Berlin,,Germany,10779,Barbarossastraße 19,Berlin,,Germany,10779,+49 030 2141444,nschroder@surfeu.de,3,2024-03-26,2024-03-26
39,Bernard,Camille,,"4, Rue Milton",Paris,,France,75009,"4, Rue Milton",Paris,,France,75009,+33 01 49 70 65 65,camille.bernard@yahoo.fr,4,2024-03-26,2024-03-26
40,Lefebvre,Dominique,,"8, Rue Hanovre",Paris,,France,75002,"8, Rue Hanovre",Paris,,France,75002,+33 01 47 42 71 71,dominiquelefebvre@gmail.com,4,2024-03-26,2024-03-26
41,Dubois,Marc,,"11, Place Bellecour",Lyon,,France,69002,"11, Place Bellecour",Lyon,,France,69002,+33 04 78 30 30 30,marc.dubois@hotmail.com,5,2024-03-26,2024-03-26
42,Girard,Wyatt,,"9, Place Louis Barthou",Bordeaux,,France,33000,"9, Place Louis Barthou",Bordeaux,,France,33000,+33 05 56 96 96 96,wyatt.girard@yahoo.fr,3,2024-03-26,2024-03-26
43,Mercier,Isabelle,,"68, Rue Jouvence",Dijon,,France,21000,"68, Rue Jouvence",Dijon,,France,21000,+33 03 80 73 66 99,isabelle_mercier@apple.fr,3,2024-03-26,2024-03-26
44,Hämäläinen,Terhi,,Porthaninkatu 9,Helsinki,,Finland,530,Porthaninkatu 9,Helsinki,,Finland,530,+358 09 870 2000,terhi.hamalainen@apple.fi,3,2024-03-26,2024-03-26
45,Kovács,Ladislav,,Erzsébet krt. 58.,Budapest,,Hungary,H-1073,Erzsébet krt. 58.,Budapest,,Hungary,H-1073,,ladislav_kovacs@apple.hu,3,2024-03-26,2024-03-26
46,O'Reilly,Hugh,,3 Chatham Street,Dublin,Dublin,Ireland,,3 Chatham Street,Dublin,Dublin,Ireland,,+353 01 6792424,hughoreilly@apple.ie,3,2024-03-26,2024-03-26
47,Mancini,Lucas,,"Via Degli Scipioni, 43",Rome,RM,Italy,192,"Via Degli Scipioni, 43",Rome,RM,Italy,192,+39 06 39733434,lucas.mancini@yahoo.it,5,2024-03-26,2024-03-26
48,Van der Berg,Johannes,,Lijnbaansgracht 120bg,Amsterdam,VV,Netherlands,1016,Lijnbaansgracht 120bg,Amsterdam,VV,Netherlands,1016,+31 020 6223130,johavanderberg@yahoo.nl,5,2024-03-26,2024-03-26
49,Wójcik,Stanisław,,Ordynacka 10,Warsaw,,Poland,00-358,Ordynacka 10,Warsaw,,Poland,00-358,+48 22 828 37 39,stanislaw.wójcik@wp.pl,4,2024-03-26,2024-03-26
50,Muñoz,Enrique,,C/ San Bernardo 85,Madrid,,Spain,28015,C/ San Bernardo 85,Madrid,,Spain,28015,+34 914 454 454,enrique_munoz@yahoo.es,5,2024-03-26,2024-03-26
51,Johansson,Joakim,,Celsiusg. 9,Stockholm,,Sweden,11230,Celsiusg. 9,Stockholm,,Sweden,11230,+46 08-651 52 52,joakim.johansson@yahoo.se,5,2024-03-26,2024-03-26
52,Jones,Emma,,202 Hoxton Street,London,,United Kingdom,N1 5LH,202 Hoxton Street,London,,United Kingdom,N1 5LH,+44 020 7707 0707,emma_jones@hotmail.com,3,2024-03-26,2024-03-26
